runner,gender,yard,start,split1,split2,split3,finish
159,F,39,0.05,4.62,22.85,43.37,48.3
159,F,40,0.07,5.05,23.92,44.65,49.73
159,F,41,0.03,4.8,23.2,44.18,48.95
159,F,42,0.07,,,,
318,F,1,0.17,4.3,20.78,40.55,44.92
318,F,2,0.43,4.75,21.5,41.25,45.62
318,F,3,0.62,4.78,21.68,40.4,46.27
318,F,4,0.43,4.75,21.42,40.22,46.12
318,F,5,0.4,4.85,21.37,41.35,45.58
318,F,6,0.57,4.68,21.25,39.42,44.88
318,F,7,0.42,4.63,20.88,39.45,44.83
318,F,8,0.57,5.63,24.08,44,48.47
318,F,9,0.18,4.48,20.57,39.27,43.48
318,F,10,0.3,4.82,21.12,39.6,43.87
318,F,11,0.5,5.3,22.18,41.8,45.9
318,F,12,0.42,4.98,21.6,40.12,44.27
318,F,13,0.28,4.97,21.7,39.72,45.42
318,F,14,0.33,4.88,21.1,38.9,43.1
318,F,15,0.38,5,21.18,39.3,43.38
318,F,16,0.18,4.68,22.43,40.63,44.8
318,F,17,0.17,4.63,20.5,38.47,42.53
318,F,18,0.17,4.48,20.33,38.57,42.87
318,F,19,0.17,4.75,22.38,40.55,44.72
318,F,20,0.23,4.92,21.62,39.62,45.42
318,F,21,0.17,4.7,21.38,40.17,44.42
318,F,22,0.17,4.78,21.57,42.5,46.82
318,F,23,0.17,4.73,21.77,39.12,43.23
318,F,24,0.17,4.42,20,37.43,41.5
318,F,25,0.13,4.47,21.85,39.38,43.57
318,F,26,0.17,4.4,20.73,38.52,42.8
318,F,27,0.18,4.33,20.18,38.12,42.52
318,F,28,0.15,4.37,20.82,40.2,44.4
318,F,29,0.17,4.22,19.93,37.98,42.28
318,F,30,0.22,39.38,20.85,,45.47
318,F,31,0.18,4.42,,,43.92
318,F,32,0.2,4.63,,,46.9
318,F,33,0.2,4.57,21.13,40.6,45.23
318,F,34,0.22,4.63,24.68,44.47,49.35
318,F,35,0.25,5.2,23.57,43.95,48.27
318,F,36,0.23,5.17,23.77,43.87,48.38
318,F,37,0.25,4.7,21.87,41.95,46.55
318,F,38,0.32,5.1,23.2,43.6,48.45
318,F,39,0.07,4.82,22.82,42.63,47.47
318,F,40,0.05,5,23.42,44.15,49.22
318,F,41,0.6,,,,
63,M,1,0.05,4.47,20.62,38.32,42.53
63,M,2,0.1,4.73,21.28,39.35,43.35
63,M,3,0.05,4.4,20.27,37.67,41.78
63,M,4,0.1,4.52,21.4,39.83,44.05
63,M,5,0.1,4.47,20.1,38.8,42.95
63,M,6,0.08,4.6,22,42.72,47.08
63,M,7,0.07,4.48,21.83,40.52,44.83
63,M,8,0.17,4.63,21.57,40.47,44.68
63,M,9,0.12,4.45,20.92,39.78,44.08
63,M,10,0.1,4.57,22.17,41.53,45.65
63,M,11,0.17,4.82,21.85,40.72,45.18
63,M,12,0.22,4.25,18.32,33.18,36.88
63,M,13,0.05,4.5,18.52,34.2,37.92
63,M,14,0,3.83,17.82,33.8,37.5
63,M,15,0.03,3.97,19.3,35.78,39.65
63,M,16,0.07,4.8,21.5,39.6,44.58
63,M,17,0.15,5.02,20.77,37.07,40.88
63,M,18,0.07,5.03,21.78,37.98,41.38
63,M,19,0.1,5.68,22.37,39.28,43.28
63,M,20,0.1,4.88,20.6,35.87,39.63
63,M,21,0.13,4.3,18.5,35.42,39.35
63,M,22,0.1,4.55,22.33,41.83,46.37
63,M,23,0.08,4.4,22.1,40.6,44.92
63,M,24,0.13,4.6,21.4,39.75,44.08
63,M,25,0.22,4.53,21.68,40.65,44.75
63,M,26,0.17,4.57,21.37,40,44.25
63,M,27,0.15,4.6,21.5,40.35,44.6
63,M,28,0.13,4.53,22.08,41,45.28
63,M,29,0.2,4.75,22.92,43.38,47.83
63,M,30,0.2,4.58,22.27,41.28,45.65
63,M,31,0.15,4.73,23.42,43.02,47.33
63,M,32,0.18,4.63,22.93,42.67,47.18
63,M,33,0.18,4.57,23.03,43.67,48.17
63,M,34,0.18,4.58,23.18,44.15,48.83
63,M,35,0.25,4.92,23.3,44.07,48.05
63,M,36,0.25,5.2,24.72,45.57,50.43
63,M,37,0.25,5.13,25.13,45.28,49.53
63,M,38,0.33,5.03,23.25,43.23,47.63
63,M,39,0.02,4.85,23.1,44.8,49.72
63,M,40,0.05,5.07,24.08,46.5,51.7
63,M,41,0.97,,,,
255,M,1,0.1,4.48,21.7,44.87,50.9
255,M,2,0.27,5.4,25.57,46.1,50.87
255,M,3,0.28,5.1,22.78,42.57,47.33
255,M,4,0.23,4.72,22.02,42.47,47.27
255,M,5,0.23,4.67,22.38,43.95,48.6
255,M,6,0.15,4.57,21.57,43.67,48.18
